galaxy,velocity
18,19349
69,23706
66,23538
8,16084
63,23241
40,20795
28,19914
3,9483
36,20215
5,9775
26,19856
24,19663
1,9172
73,24289
62,23206
70,23711
33,20175
42,20846
71,24129
51,22185
78,26690
59,22747
25,19846
75,24717
67,23542
35,20196
29,19918
44,20986
23,19547
15,19070
68,23666
4,9558
50,21960
52,22209
30,19973
54,22249
32,20166
7,10406
46,21492
39,20629
57,22495
31,19989
27,19863
41,20821
19,19440
12,18600
80,32065
14,19052
20,19473
49,21921
37,20221
9,16170
74,24366
11,18552
38,20415
60,22888
56,22374
17,19343
21,19529
16,19330
81,32789
65,23484
64,23263
77,25633
10,18419
45,21137
82,34279
53,22242
2,9350
55,22314
34,20179
76,24990
48,21814
79,26995
61,22914
6,10227
72,24285
43,20875
13,18927
47,21701
22,19541
58,22746